id,herramienta,severidad,identificador_tecnico,hallazgo,control_iso27001,objetivo_cobit,tipo_deficiencia,evidencia,estado_revision
S04-0001,Trivy,Critical,CVE-2015-9235,CVE-2015-9235 en jsonwebtoken 0.1.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0002,Trivy,Critical,CVE-2015-9235,CVE-2015-9235 en jsonwebtoken 0.4.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0003,Trivy,Critical,CVE-2019-10744,CVE-2019-10744 en lodash 2.4.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0004,Trivy,Critical,CVE-2023-46233,CVE-2023-46233 en crypto-js 3.3.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0005,Trivy,Critical,CVE-2025-68121,CVE-2025-68121 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0006,Trivy,Critical,CVE-2025-68121,CVE-2025-68121 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0007,Trivy,Critical,CVE-2026-59873,CVE-2026-59873 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0008,Trivy,Critical,CVE-2026-71851,CVE-2026-71851 en crypto-js 3.3.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0009,Docker Bench,Alta,CIS Docker,* Container running with root FS mounted R/W: si084_db,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0010,Docker Bench,Alta,CIS Docker,* Container running with root FS mounted R/W: si084_dvwa,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0011,Docker Bench,Alta,CIS Docker,* Container running with root FS mounted R/W: si084_juiceshop,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0012,Docker Bench,Alta,CIS Docker,* Container running with root FS mounted R/W: si084_portal,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0013,Docker Bench,Alta,CIS Docker,* Container running with root FS mounted R/W: si084_simplerisk,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0014,Docker Bench,Alta,CIS Docker,* Container running with root FS mounted R/W: si084_srdb,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0015,Docker Bench,Alta,CIS Docker,* Container running with root FS mounted R/W: si084_wpdb,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
